Название;Разделы;Активность;Сортировка;Символьный код;Картинка для анонса;Детальная картинка;Детальное описание;ID;Цена по предзаказу;Наличие;Предзаказ;Производитель;Алгоритм;Хешрейт;Потребление;Валюта;Картинки галереи;Доступность;Розничная цена
ANTMINER L9 17000 MH/S;Antminer;Да;500;antminer_l9_17000_mh_s;https://gis-mining.ru/upload/iblock/884/o0xrf88baj8cophxdo5y0dj50yl39jn2.jpg;https://gis-mining.ru/upload/iblock/884/o0xrf88baj8cophxdo5y0dj50yl39jn2.jpg;;1893;1140000;Отсутствует;Да;BITMAIN;Scrypt;17 000 MH/S;3 360 W ±5%;LTC+DOGE;;Да;1 140 000.00 ₽
;ANTMINER;;;;;;;;;;;;;;;;;;
;Bitmain;;;;;;;;;;;;;;;;;;
ANTMINER S21 Hydro;Antminer;Да;500;antminer_s21_hydro_2;https://gis-mining.ru/upload/iblock/8e4/xgi194f8g1cw4nf2iqhbojn83x0kig5p.jpg;https://gis-mining.ru/upload/iblock/8e4/xgi194f8g1cw4nf2iqhbojn83x0kig5p.jpg;;1819;0;Отсутствует;Нет;BITMAIN;Sha-256;319 TH/S;5 360 W ±5%;BTC;https://gis-mining.ru/upload/iblock/8e4/xgi194f8g1cw4nf2iqhbojn83x0kig5p.jpghttps://gis-mining.ru/upload/iblock/eb2/eqvycxw9r9xo331i3lqscz5g4ulcso19.jpghttps://gis-mining.ru/upload/iblock/435/p1quy10mit7o15dp4t1e7l78hc0ky5tr.jpghttps://gis-mining.ru/upload/iblock/c43/3rl3fw32tre10zofpnrryrg2poqpoy5v.jpg;Да;0.00 ₽
;Antminer s19;;;;;;;;;;;;;;;;;;
;ANTMINER;;;;;;;;;;;;;;;;;;
;Bitmain;;;;;;;;;;;;;;;;;;
